ticker,month,open,high,low,close,volume,vwap
AMZN,2022-03,139.5,170.8315,133.5725,162.9975,1628486000,162.9975
AMZN,2022-04,151.5235,168.3945,121.625,124.2815,1465008000,124.2815
AMZN,2022-05,109.069,126.2205,101.26,120.2095,2258476000,120.2095
AMZN,2022-06,122.256,128.99,101.43,106.21,1767601100,106.21
AMZN,2022-07,106.29,137.65,105.85,134.95,1337852600,134.95
AMZN,2022-08,134.96,146.57,126.74,126.77,1170449000,126.77
AMZN,2022-09,129.5,136.49,112.06,113.0,1210487600,113.0
AMZN,2022-10,118.0,123.0,97.66,120.3,1459311500,120.3
AMZN,2022-11,103.21,104.58,85.87,96.54,2035133200,96.54
AMZN,2022-12,96.99,97.23,81.69,84.0,1549193300,84.0
AMZN,2023-01,85.46,103.49,81.43,103.13,1523798600,103.13
AMZN,2023-02,99.09,114.0,92.32,94.23,1364102000,94.23
AMZN,2023-03,92.74,103.49,88.12,103.29,1349240300,103.29
AMZN,2023-04,102.3,110.86,97.71,105.45,1224234500,105.45
AMZN,2023-05,111.15,122.92,101.15,120.58,1433039100,120.58
AMZN,2023-06,120.69,131.49,119.93,130.36,1242936000,130.36
AMZN,2023-07,130.82,136.65,125.92,133.68,1058873500,133.68
AMZN,2023-08,130.15,143.63,126.41,138.01,1210688300,138.01
AMZN,2023-09,136.32,145.86,123.04,127.12,1120505300,127.12
AMZN,2023-10,127.28,134.48,118.35,133.09,1224668600,133.09
AMZN,2023-11,147.06,149.26,133.71,146.09,1026039500,146.09
AMZN,2023-12,148.12,155.63,142.81,151.94,931322200,151.94
AMZN,2024-01,151.54,161.73,144.05,155.2,954015000,155.2
AMZN,2024-02,155.87,177.22,155.62,176.76,1045002200,176.76
AMZN,2024-03,174.83,181.7,171.47,180.38,702056800,180.38
AMZN,2024-04,180.79,189.77,166.32,175.0,917138300,175.0
AMZN,2024-05,185.97,191.7,173.87,176.44,892274700,176.44
AMZN,2024-06,181.75,199.84,175.92,193.25,810555700,193.25
AMZN,2024-07,197.28,201.2,176.8,186.98,868061100,186.98
AMZN,2024-08,189.29,190.6,151.61,178.5,971023900,178.5
AMZN,2024-09,175.0,195.37,171.16,186.33,764950500,186.33
AMZN,2024-10,187.63,195.61,180.25,186.4,733878800,186.4
AMZN,2024-11,214.16,215.9,194.31,207.89,905835300,207.89
AMZN,2024-12,222.97,233.0,209.51,221.3,760891000,221.3
AMZN,2025-01,222.03,241.77,216.2,237.68,652577000,237.68
AMZN,2025-02,234.06,242.52,204.16,212.28,783613700,212.28
AMZN,2025-03,204.8,214.01,184.4,190.26,966721800,190.26
AMZN,2025-04,187.66,198.34,161.38,184.42,1313093300,184.42
AMZN,2025-05,206.45,214.84,183.85,205.01,937262700,205.01
AMZN,2025-06,204.98,223.82,202.68,219.39,870687900,219.39
AMZN,2025-07,219.73,236.53,217.93,234.11,856016400,234.11
AMZN,2025-08,227.4,234.08,211.42,229.0,877658700,229.0
AMZN,2025-09,231.19,238.85,216.47,219.57,965100000,219.57
AMZN,2025-10,231.67,250.5,211.03,244.22,1196876800,244.22
AMZN,2025-11,223.74,258.6,215.18,233.22,902272800,233.22
AMZN,2025-12,232.04,238.97,220.99,234.42,721821800,234.42
GOOGL,2004-08,2.6067,2.8185,2.3834,2.5426,2672137188,2.5426
GOOGL,2004-09,2.5235,3.3535,2.4574,3.2189,4249913832,3.2189
